id,domain,text,label,discourse_subtype,discourse_tree_json,unsupported_nucleus,evidence_density,contrast_density,closure_strength,weak_to_strong_inference,support_balance,defeater_presence,nucleus_pressure
dcw_0898,technical troubleshooting,The explanation preserves the contrast between database schema mismatch and Nginx routing error. The final conclusion follows only after weighing both.,grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.236,0.758,0.693,0.33,0.354,0.525,0.469,0.38
dcw_0006,consumer dispute,"settlement eligibility is asserted as the central conclusion, while the available evidence is only one anecdotal report.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.668,0.263,0.314,0.73,0.61,0.549,0.178,0.591
dcw_0481,scientific explanation,The reasoning jumps from a superficial similarity to abductive explanation. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.661,0.442,0.042,0.757,0.8,0.009,0.242,0.841
dcw_0705,financial reasoning,"Because prior measurements and policy text both support high-risk investment, and the alternative income stability is considered, the conclusion is cautiously accepted.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.01,0.947,0.697,0.019,0.337,0.897,0.496,0.22
dcw_0698,travel planning,The explanation preserves the contrast between permit requirement and route safety. The final conclusion follows only after weighing both.,grounded,contrast_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.053,0.799,0.308,0.284,0.325,0.568,0.532,0.27
dcw_0624,technical troubleshooting,"policy text suggests database schema mismatch, but a timing inconsistency weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,evidence_integration,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.297,1,0.375,0.016,0.01,0.731,0.349,0.477
dcw_0894,legal complaint,The explanation preserves the contrast between bank chargeback eligibility and breach of warranty. The final conclusion follows only after weighing both.,grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.086,0.545,0.609,0.345,0.386,0.489,0.684,0.472
dcw_0161,scientific explanation,"a weak correlation suggests a possibility, so the explanation concludes causal mechanism without considering alternatives.",hallucinated,unsupported_nucleus_promotion,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.756,0.118,0.302,0.787,0.82,0.328,0.214,0.814
dcw_0324,medical diagnosis,The reasoning jumps from a weak correlation to a viral infection. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.742,0.349,0.074,0.921,0.86,0.217,0.329,0.807
dcw_0543,medical diagnosis,"policy text provides evidence, while a known confounder acts as a defeater. The conclusion is limited rather than absolute.",grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.323,0.573,0.325,0.048,0.04,0.857,0.859,0.41
dcw_0632,travel planning,"log messages provides evidence, while a policy exception acts as a defeater. The conclusion is limited rather than absolute.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.198,0.476,0.444,0.541,0.222,0.803,0.842,0.464
dcw_0663,medical diagnosis,The explanation preserves the contrast between colon cancer and a viral infection. The final conclusion follows only after weighing both.,grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.243,0.912,0.85,0.177,0.314,0.658,0.893,0.316
dcw_0070,consumer dispute,The reasoning jumps from a weak correlation to settlement eligibility. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.65,0.277,0.255,0.959,0.829,0.166,0.225,0.564
dcw_0377,scientific explanation,The reasoning jumps from a weak correlation to causal mechanism. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.847,0.124,0.068,0.908,0.843,0.533,0.166,0.629
dcw_0341,legal complaint,a superficial similarity is mentioned. This clearly proves merchant liability. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.724,0.389,0.041,0.69,0.522,0.466,0.107,0.7
dcw_0720,travel planning,"Because transaction records and prior measurements both support water logistics issue, and the alternative permit requirement is considered, the conclusion is cautiously accepted.",grounded,defeater_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.373,0.997,0.377,0.199,0.088,0.772,0.463,0.501
dcw_0873,consumer dispute,"policy text suggests service non-performance, but a timing inconsistency weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,consistent_abduction,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.247,0.936,0.804,0.341,0.386,0.971,0.855,0.167
dcw_0552,medical diagnosis,"The claim is supported by observed symptoms. However, a medication side effect remains possible, so the conclusion is qualified.",grounded,evidence_integration,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.229,0.915,0.428,0.41,0.357,0.55,0.565,0.355
dcw_0649,consumer dispute,"The claim is supported by observed symptoms. However, refund entitlement remains possible, so the conclusion is qualified.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.055,1,0.76,0.276,0.431,0.758,0.87,0.392
dcw_0713,scientific explanation,"prior measurements suggests abductive explanation, but a known confounder weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.209,0.562,0.649,0.393,0.234,0.588,0.551,0.515
dcw_0866,legal complaint,"The claim is supported by observed symptoms. However, merchant liability remains possible, so the conclusion is qualified.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.389,0.786,0.518,0.413,0.222,0.75,0.591,0.353
dcw_0942,medical diagnosis,"The claim is supported by observed symptoms. However, appendicitis remains possible, so the conclusion is qualified.",grounded,contrast_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.052,0.862,0.418,0.362,0.302,0.679,0.839,0.112
dcw_0008,financial reasoning,The reasoning jumps from a single ambiguous clue to expense misclassification. No competing explanation is discussed.,hallucinated,weak_evidence_amplification,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.754,0.429,0.307,0.669,0.75,0.098,0.319,0.942
dcw_0749,financial reasoning,"prior measurements provides evidence, while missing evidence acts as a defeater. The conclusion is limited rather than absolute.",grounded,evidence_integration,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.151,1,0.33,0.218,0.095,0.511,0.438,0.476
dcw_0483,travel planning,The reasoning jumps from an unverified assumption to route safety. No competing explanation is discussed.,hallucinated,premature_closure,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.928,0.365,0.344,0.606,0.685,0.106,0.003,0.884
dcw_0186,financial reasoning,"portfolio concentration risk is asserted as the central conclusion, while the available evidence is only an unverified assumption.",hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.777,0.287,0.048,0.816,0.531,0.364,0.046,0.681
dcw_0822,financial reasoning,"Because retrieved documents and prior measurements both support high-risk investment, and the alternative portfolio concentration risk is considered, the conclusion is cautiously accepted.",grounded,consistent_abduction,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.225,0.836,0.589,0.416,0.289,0.605,0.338,0.42
dcw_0131,consumer dispute,"Although a known confounder could be relevant, it is ignored. Since a superficial similarity appears, settlement eligibility must be true.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.937,0.053,0.347,0.727,0.564,0.538,0.292,0.89
dcw_0098,financial reasoning,The reasoning jumps from a single ambiguous clue to expense misclassification. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.703,0.084,0.242,0.715,0.899,0.147,0.029,0.741
dcw_0466,technical troubleshooting,"a superficial similarity suggests a possibility, so the explanation concludes OAuth token failure without considering alternatives.",hallucinated,weak_evidence_amplification,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.882,0.204,0.344,0.912,0.995,0.311,0.313,0.832
dcw_0194,technical troubleshooting,"one anecdotal report suggests a possibility, so the explanation concludes Nginx routing error without considering alternatives.",hallucinated,weak_evidence_amplification,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.917,0.413,0.02,0.998,0.61,0.466,0.279,0.71
dcw_0515,consumer dispute,"The claim is supported by witness statements. However, refund entitlement remains possible, so the conclusion is qualified.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.046,0.954,0.463,0.412,0.218,0.488,0.606,0.133
dcw_0232,consumer dispute,"an unverified assumption suggests a possibility, so the explanation concludes settlement eligibility without considering alternatives.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.691,0.317,0.083,0.895,0.788,0.311,0.342,0.851
dcw_0332,travel planning,"weather-related risk is asserted as the central conclusion, while the available evidence is only a superficial similarity.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.63,0.205,0.071,0.969,0.547,0.165,0.129,0.721
dcw_0076,technical troubleshooting,"database schema mismatch is asserted as the central conclusion, while the available evidence is only a vague symptom.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.73,0.064,0.078,0.564,0.873,0.118,0.147,0.703
dcw_0293,travel planning,"water logistics issue is asserted as the central conclusion, while the available evidence is only a vague symptom.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.634,0.046,0.094,0.872,0.864,0.128,0.018,0.772
dcw_0021,scientific explanation,The reasoning jumps from a weak correlation to causal mechanism. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.569,0.164,0.114,0.987,0.52,0.197,0.239,0.85
dcw_0845,technical troubleshooting,The explanation preserves the contrast between SSL certificate problem and database schema mismatch. The final conclusion follows only after weighing both.,grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.032,0.753,0.335,0.538,0.281,0.854,0.262,0.209
dcw_0398,consumer dispute,The reasoning jumps from an unverified assumption to misrepresentation. No competing explanation is discussed.,hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.961,0.187,0.195,0.87,0.878,0.075,0.023,0.722
dcw_0889,travel planning,"retrieved documents suggests permit requirement, but a policy exception weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,evidence_integration,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.155,1,0.675,0.097,0.17,0.616,0.395,0.476
dcw_0359,financial reasoning,"Although missing evidence could be relevant, it is ignored. Since a superficial similarity appears, income stability must be true.",hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.938,0.154,0.03,0.615,0.967,0.085,0.061,0.997
dcw_0863,legal complaint,"The claim is supported by observed symptoms. However, breach of warranty remains possible, so the conclusion is qualified.",grounded,contrast_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.186,0.95,0.346,0.344,0.25,0.777,0.743,0.059
dcw_0036,legal complaint,one anecdotal report is mentioned. This clearly proves merchant liability. Therefore the conclusion is certain.,hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.976,0.209,0.031,0.716,0.803,0.53,0.251,0.9
dcw_1000,consumer dispute,"Because retrieved documents and prior measurements both support settlement eligibility, and the alternative misrepresentation is considered, the conclusion is cautiously accepted.",grounded,contrast_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.257,0.868,0.735,0.372,0.342,0.92,0.308,0.287
dcw_0993,consumer dispute,The explanation preserves the contrast between settlement eligibility and refund entitlement. The final conclusion follows only after weighing both.,grounded,contrast_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.068,0.848,0.862,0.334,0.228,0.49,0.543,0.184
dcw_0010,medical diagnosis,The reasoning jumps from a weak correlation to gout. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.624,0.237,0.212,0.984,0.964,0.415,0.241,0.871
dcw_0474,scientific explanation,"experimental artifact is asserted as the central conclusion, while the available evidence is only a weak correlation.",hallucinated,unsupported_nucleus_promotion,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.983,0.124,0.072,0.923,0.919,0.319,0.03,0.79
dcw_0493,legal complaint,"merchant liability is asserted as the central conclusion, while the available evidence is only a single ambiguous clue.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.889,0.14,0.108,0.899,0.574,0.17,0.12,0.716
dcw_0013,consumer dispute,a superficial similarity is mentioned. This clearly proves settlement eligibility. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.731,0.153,0.302,0.662,0.595,0.247,0.052,0.675
dcw_0254,legal complaint,"Although missing evidence could be relevant, it is ignored. Since a weak correlation appears, bank chargeback eligibility must be true.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.828,0.114,0.04,0.852,0.784,0.03,0.092,0.996
dcw_0675,legal complaint,"witness statements suggests valid small-claims escalation, but an alternative explanation weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,qualified_conclusion,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.391,0.834,0.672,0.25,0.051,0.724,0.272,0.153
dcw_0221,technical troubleshooting,"Although a contradictory observation could be relevant, it is ignored. Since one anecdotal report appears, SSL certificate problem must be true.",hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.769,0.284,0.022,0.836,0.502,0.15,0.266,0.626
dcw_0362,travel planning,"a weak correlation suggests a possibility, so the explanation concludes weather-related risk without considering alternatives.",hallucinated,weak_evidence_amplification,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.67,0.044,0.229,0.726,0.887,0.412,0.257,0.815
dcw_0690,consumer dispute,"log messages suggests settlement eligibility, but a known confounder weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,qualified_conclusion,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.117,0.635,0.786,0.185,0.274,0.509,0.719,0.041
